Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Albania,10.307,30.015,25.258,20.84,14.611,13.931,16.876,20.047,20.84,19.028,18.575,17.895,16.989,16.31,15.97,15.63,15.97,13.06,13.67,14.09,13.48,13.38,15.87,18.05,17.19,15.42,13.62,12.3,11.47,13.067,12.683
Armenia,1.6,1.8,5.3,6.6,6.7,9.3,10.8,9.4,11.2,11.055,10.933,10.81,10.625,10.347,10.218,10.001,9.81,9.997,9.894,10.542,10.917,11.298,11.531,11.862,12.177,12.426,12.944,13.21,12.2,12.18,12.729
Australia,9.58,10.73,10.87,9.72,8.47,8.51,8.36,7.68,6.87,6.28,6.74,6.37,5.93,5.39,5.03,4.78,4.38,4.23,5.56,5.21,5.08,5.22,5.66,6.08,6.05,5.71,5.59,5.3,5.16,6.46,5.12
Austria,3.42,3.59,4.25,3.54,4.34,5.28,5.15,5.48,4.7,4.69,4.01,4.85,4.78,5.83,5.63,5.24,4.86,4.13,5.3,4.82,4.56,4.87,5.34,5.62,5.72,6.01,5.5,4.85,4.49,5.36,6.18
Azerbaijan,0.9,1.8,4.5,6.3,7.2,8.1,9.1,10.0,10.9,11.78,10.91,10.04,9.17,7.99,7.26,6.62,6.33,5.86,5.74,5.63,5.42,5.19,4.97,4.91,4.96,5.0,4.96,4.94,4.85,7.16,5.95
Benin,1.484,1.51,1.396,1.358,1.237,1.175,1.083,1.018,0.927,0.843,0.766,0.69,0.738,0.773,0.832,0.859,0.886,0.935,0.996,1.04,2.65,2.454,2.254,2.111,2.023,1.836,1.643,1.47,1.466,1.671,1.752
Bulgaria,11.1,15.3,16.4,12.8,11.1,12.5,13.7,12.2,14.1,16.22,19.92,18.11,13.73,12.04,10.08,8.95,6.88,5.61,6.82,10.28,11.26,12.27,12.94,11.42,9.14,7.57,6.16,5.21,4.23,5.12,5.27
"Bahamas, The",12.17,14.81,12.72,13.83,10.83,11.46,9.76,7.65,7.45,7.196,6.87,9.05,10.84,10.2,10.2,7.54,7.88,8.18,14.25,14.321,14.52,14.02,16.18,13.8,12.0,12.7,9.8,10.0,10.051,12.867,11.665
Brazil,6.366,6.42,6.03,6.47,7.09,8.03,9.0,10.15,11.13,10.53,10.65,10.64,11.17,10.07,10.55,9.69,9.28,8.27,9.42,8.034,7.58,7.25,7.07,6.76,8.56,11.74,12.93,12.46,12.05,13.93,13.34
Barbados,22.683,22.94,24.54,22.98,19.66,14.71,14.61,12.4,10.61,9.35,9.85,10.32,11.0,9.57,9.08,8.73,7.41,8.12,10.02,10.69,11.19,11.59,11.55,12.17,9.8,8.25,8.62,8.32,8.41,10.105,9.582
Bhutan,1.482,1.49,1.462,1.46,1.454,1.431,1.414,1.4,1.4,1.625,1.9,1.867,1.8,2.49,3.1,3.13,3.7,3.746,3.96,3.32,3.23,2.05,2.87,2.63,2.45,2.774,3.056,3.35,2.72,5.03,3.908
Canada,10.32,11.2,11.38,10.4,9.49,9.62,9.1,8.28,7.58,6.83,7.22,7.66,7.57,7.19,6.76,6.32,6.04,6.14,8.34,8.06,7.51,7.29,7.07,6.91,6.91,7.0,6.34,5.83,5.66,9.46,7.46
Central Europe and the Baltics,9.22374145120565,10.1072847899322,11.5385216320001,11.3817273373713,10.8492378464605,10.1956633653634,9.16333420102214,8.95373122135702,10.3892082088567,12.4415131150553,13.2256367277312,13.7350789068894,12.9536502983541,12.9328238948599,12.0585084381507,10.1027383638572,7.80838210762561,6.60705362692356,8.48909744077757,9.90131224425106,9.78859242467549,9.97857143292525,10.0496181562474,8.95333518267376,7.82080210255068,6.49093595152778,5.29781663005635,4.31646915770219,3.78090050485265,4.37073241695123,4.48412374351841
